query_id,query_text,doc_id,business_name,stars,sentiment,review_text,source_systems,label,notes
Q001,slow service rude waiter,uo57oPjmq2ucMau7rE6aMw,Vinny's At Chester Springs,1.0,negative,Worst service and rude ownership.  Our first bad experience but will never return.  Was appalled at their lack of caring that our food showed up sporadically and incorrect.  Asked for the manager and was told no.  Last visit.,tfidf,,
Q001,slow service rude waiter,yjaW3t7uWXP99u71tKASDw,Checkers,3.0,neutral,The Food was good ......the service was VERY slow!   I liked the food to put up the slow service. It appears to have gone out of business.....,tfidf,,
Q002,friendly staff excellent service,14XN7wURm1nM55aiWYSrEQ,Kuzina By Sofia,5.0,positive,We went here in spite of terrible reviews and a friend claiming to have become sick after eating here. The food and staff were both excellent! We definitely plan to return again soon.,tfidf,,
Q002,friendly staff excellent service,4WcHpvuq3Ern0MGdKpIoCg,The Shaved Duck,5.0,positive,Pleasantly surprised. The food was excellent and well proportioned and the staff was super friendly.,bm25,,
Q002,friendly staff excellent service,5Klyf52T-XwVv3-AHS3y2g,Oyster House,5.0,positive,"Daniel and his staff were excellent.  Brian was our sever, and his recommendation along with his service - can't say enough.  I was out with my parents for my moms birthday, and they made it enjoyable.",tfidf,,
Q002,friendly staff excellent service,8aQhB8KnADv0HQyxv2GZMQ,Duke's,5.0,positive,"Sitting at Dukes having my first sandwich and beer. Great atmosphere, amazing music, even better sandwiches. Will absolutely come back. Very friendly staff and excellent service.",tfidf+bm25,,
Q002,friendly staff excellent service,ETLzbKgwbVypiqLW1ucVGw,Vedge,5.0,positive,I'm not a vegetarian but I loved this place. Great food and excellent service. Can't wait to go back!,tfidf,,
Q002,friendly staff excellent service,I_2Osv4BQpwZE2a1NrBzTQ,Iavarone's Steakhouse & Italian Grill,5.0,positive,"It was our first time and we will definitely be back! Excellent food, excellent service. Owners are on-site and personable. Taylor was our waitress and was terrific!",tfidf,,
Q002,friendly staff excellent service,Mw6rthW6d8Cn1YZh1Ifj8w,Ulele,4.0,positive,Very good!  Okra fries are awesome.  The charbroiled oysters and the blistered peppers are among my favorites here.  Drinks are good and the bar staff is excellent!  One of my favorite places.,tfidf,,
Q002,friendly staff excellent service,TrxTgySH6aZqFv02txz7bQ,Johnny's Po-Boys,5.0,positive,Service and food is always EXCELLENT!!! The staff are friendly! The cashiers always have a smile on their face even when customers are sometimes RUDE! I hope management pays them for their WORTH!!!,bm25,,
Q002,friendly staff excellent service,WJaHOlIPlF55W2WeDH6OFA,Mamma Mia Trattoria,5.0,positive,"Everything about this place was awesome! The food was delicious. The service was exceptional. The prices are reasonable. The staff are very friendly.

I had the Shrimp Portofino which was excellent.  I will definitely be back!",bm25,,
Q002,friendly staff excellent service,X_Gv4kwRv9aQrDOoY3ubgg,Cafe Patachou,5.0,positive,Excellent food and service! Staff was very friendly. The dog patio was very convenient  and my dog really enjoyed it. Highly recommend stopping by here for breakfast or lunch. Prices were also generally inexpensive.,bm25,,
Q002,friendly staff excellent service,Y12NnXCv20IvLGRuIzLSvw,Twenty Tap,5.0,positive,"Cheese curds and pickled veggies are amazing! Waiting staff is always excellent. When in doubt, get the French Breakfast. Only complaint is the Mex burger is off the menu. #BringBackTheMex",tfidf,,
Q002,friendly staff excellent service,_PNe0mppxPS-7KnSzgugLw,Chiwa Bistro,4.0,positive,"Delish! Will definitely be back. So staff extremely friendly, great atmosphere and excellent portion sizes.",bm25,,
Q002,friendly staff excellent service,bEbfNHh6YlFf7dv7zwEvKg,PJ Whelihan's Pub + Restaurant - Downingtown,3.0,neutral,"First time coming here at it was okay.....service was excellent and staff very friendly! Clean tables. Food was okay, not much flavor. Chili was on the watery side.",bm25,,
Q002,friendly staff excellent service,cG4jsfWrcGbMrszrT5zg0Q,Mil-Lee's Luv-Inn,5.0,positive,Delicious food and friendly staff...a proper little gem!,tfidf,,
Q002,friendly staff excellent service,fJq3spQuVxywAvyLpO50mg,Java Downtown Boise,4.0,positive,Coffee is excellent. Food was good. Customer service is excellent. Very friendly staff. Great atmosphere. Very popular place. Steady flow of customers. Enjoyed our experience.,bm25,,
Q002,friendly staff excellent service,mcjR9boK0gY-FCrAIziuiQ,3 Agaves Mexican Restaurant & Cantina,5.0,positive,"Excellent food, great prices, super clean, friendly staff. Enjoyed our dinner... we'll be back soon!",bm25,,
Q002,friendly staff excellent service,nL4xP9Juj6mYIXIsI7Wl-Q,Guppys on the Beach,5.0,positive,Fantastic restaurant. Excellent service and food!!,tfidf,,
Q002,friendly staff excellent service,z7aHKe15iYVeqEUPvkPQuw,Captain D's,5.0,positive,"Very friendly staff, excellent service. I was greeted by a friendly cashier who was polite and quick. I wasn't even done filling my drink and my food was already up. From the time I walked in the door to having sat down with my food was less than five minutes. I got the sampler for $4.99 and it was hot and tasted fresh.",tfidf,,
Q002,friendly staff excellent service,zUA7jlQZqw231P6AD3cijg,Dots Diner - Williams Blvd.,4.0,positive,"I ordered the Crawfish Creole for breakfast with 2 eggs, Swiss cheese, hash browns and toast.  I really enjoyed it and the service was excellent and super friendly staff. Another must try.",bm25,,
Q003,waited too long for food,0V-nerbn2tK9gfvUCkVNiw,Junior's on Harrison,5.0,positive,"An absolute wonderful experience!! I've been waiting to try Juniors and I'm sad I waited so long! The drinks were wonderful and the food was excellent. I highly recommend the Korean philly cheese steak. I could not believe how great it was. Additionally, the atmosphere is great for a one on one date or catching up with a friend. 10/10 from me!",tfidf,,
Q003,waited too long for food,1xjguzMalCpWXYjwnj8-MQ,Hickory Falls Wood-Fired Grille & Bar,4.0,positive,The good has always been good and the service too.  Sometimes the wait can be a little long to get your food but they always get my steak right and that's an accomplishment around here!,tfidf,,
Q003,waited too long for food,23secNmhGZv9XBDSu-GKUA,Woody's Grille & Spirits,4.0,positive,We finally tried Woody's and my only complaint is that we waited so long! It's so good. I think they are busier during the week due to location so weekends are more mellow which is great. Each booth has its own little tv. The menu is great and the food is really tasty.,tfidf,,
Q003,waited too long for food,8bcCKDhaRRfYd5c7Wk1txg,Melting Pot,2.0,negative,"-  Too much food.
-  Too expensive when you're cooking it yourself.
-  Took too long to get food.

+  Even though the food took awhile, the service was good, our server was efficient and genuinely friendly.
+  The atmosphere was nice, intimate.",tfidf,,
Q003,waited too long for food,FE8ZIHquo9n2vIxe11j4aw,Chipotle Mexican Grill,3.0,neutral,"So, I love love love love love chipotle. I was driving north for Easter, and decided I absolutely had to have some. So I pulled over, looked up the nearest chipotle, and off I went. This chipotle is located in a mall - but not in the food court. It's on the opposite side of the mall from the food court. A bit difficult to locate. I waited in line for a bit, and then they were out of steak. So I waited a bit more. Then I enquired as to how long it would be, because if it would be a while, I had no problem with chicken. They said no, it was almost done. So I waited a bit more. Meanwhile the line of people behind me had learned what not to order, and had all checked out, so the cashier took a break.

Long story short - My burrito was delicious, the service was slow, but I got my meal for free so I'd give them a second shot. They knew they had messed up and made up for it.",bm25,,
Q003,waited too long for food,GsFdl2cLBCA82Z6zlYsFqQ,Pickles & Swiss,1.0,negative,"I visited Pickles and Swiss on a recent Friday around 1pm.  I had heard good things and we needed a quick lunch so I was excited to order a sandwich.  There was no line to order but all the seats were full so it was clearly a busy afternoon.  We waited at least 20-25 minutes for two cold sandwiches (too long - another person near me mentioned how long she was waiting too).  From what I saw from where I waited I became pretty disgusted.  One employee seemed to be making almost all the sandwiches even though there were three others milling around.  He had all the sandwiches in process laying open on the counter in front of him, with one or two ingredients on each.  That seems like a very inefficient way to make sandwiches and means many people were just standing around waiting.  I watched him spread egg salad on a piece of bread (this ultimately became my sandwich) and then leave it sitting for another 10 minutes while he worked on other orders.  I later watched him chop bacon, wipe the knife on a dirty towel, and cut the avocado for my sandwich.  I did eat the sandwich because I was hungry and had paid for it.  The sandwich was bland and all I could think about was how unsanitary everything was I had watched.",bm25,,
Q003,waited too long for food,KqEFOjo44zA05NxvMgIOOA,New Orleans Marriott,3.0,neutral,Had to wait a long time to get the bartenders attention for a drink in the lobby lounge.  Was I invisible?  Waited on others who came to the bar behind me.,bm25,,
Q003,waited too long for food,N5wyBeHjXQnrNjvvfbGfqw,biscuit & buns on banks,5.0,positive,Amazing place! The food was the most delicious breakfast food I had when I was in NOLA. Our waitress was very prompt and helpful the entire time even though it was super busy. We waited a long time to get our food but it was completely worth it.,tfidf,,
Q003,waited too long for food,R9TR4VgAtyhXowmk6MM4pw,Hiro Ramen House,1.0,negative,"Their food is very delicious, but the server is terrible. 
We waited for a long time. There was a table placed their order after us and they got their food much faster than us. I saw we ordered the similar food. We are a party of two, not a big party. 
We waited for a while to get the check, at the same time I saw the server was texting and just standing there, i waved to her, I don't know if she was ignoring us or not.",tfidf+bm25,,
Q003,waited too long for food,Stdk8q-hBzRTIYSPCJhiqQ,Boathouse at Hendry's Beach,3.0,neutral,"Over-rated with not worth waiting so long food and drinks. Apart from the  location which I think that too is better 2 miles down at the marina, nothing great about this place.",tfidf,,
Q003,waited too long for food,TUDhxKAwUAHKSgOIKtuxzA,Americana Café,3.0,neutral,Not sure what was the reason why it took so long for our food to arrive but waited 35min. But the servers were nice and food was good. I'd recommend the rueben sandwich.,tfidf+bm25,,
Q003,waited too long for food,WXJcuRLZLLnY_gaoRtlxwQ,Hop House Southern Eatery,5.0,positive,"Delicious!  We went on the second night of their soft opening and while the wait was long, the food was great and so was the service.",tfidf,,
Q003,waited too long for food,YTL-Fl75sC7Zfp82Ghg2MQ,Pickles & Swiss,1.0,negative,"Waited 30 minutes for a sandwich that was too hot to touch. Needed to leave by the time I received my sandwich that I planned on eating in & waited another 5 minutes for a paper bag and a lid - no to go boxes?

Figure it out.",bm25,,
Q003,waited too long for food,ZqZ7U9FdWQdQ-tqeyRFvxg,Nick's Roast Beef,1.0,negative,"Came for the roast beef, waited 30 minutes for my sandwich to come out (wanted to see how long it'll take), told them to take it back after waiting 40 minutes. But on a good note, the customers are cool. A few people took note of my long wait and ordered me a beer. With that said, eat in advance!",bm25,,
Q003,waited too long for food,nJTRcicvGDIbhqkmuWyBaw,McDonald's,1.0,negative,"Drink thru order almost $30.00 during lunch time. Took forever for order to be taken. Waited almost 20 minutes after paying for food. Fries were either raw or burnt.When i finally received the order I asked why it took so long, she said we're busy it's lunch.",bm25,,
Q003,waited too long for food,nqfaUAZbria7kQ1dK2j2jw,Malucci's,1.0,negative,"This place is awful.  Went in there for a slice of plain pizza one day and waited at least 20 minutes for them to finally bring it to me.  In the mean time someone came in to pick up a pepperoni pizza and they must have had too many plain slices ready at the time so instead of making her a pepperoni pizza, they headers up right plain slices, put pepperoni on them and carefully placed them in a circle in the box.  Absolutely awful.  Would never wait that long for any pizza nonetheless a slice of just ok pizza that took ridiculously long to get.  

In addition , they call themselves a brick oven pizzeria but they DONT HAVE A BRICK OVEN!!  Wouldn't waste time or money here again.",bm25,,
Q003,waited too long for food,uiVFv-h5LnWB1kZPUB9JHA,Dilladelphia,2.0,negative,Waited a long time just for our drinks. Mine tasted nothing like a Long Island and didn't seem to have any liquor in it. However the wizard fries were pretty good and the cheese cake was delicious. The wait and the service was crap it wasn't busy at all.,tfidf+bm25,,
Q004,best pizza in town,95szp6QJKmGtyh_nwn-pCw,Mario's Pizza,4.0,positive,"Closest pizza to Brooklyn, New York! You can buy by the slice for around $2.50. I recommend asking for it well done to get that crispy crust. If I had to compare it to Brooklyn's Pizza off of 4th Avenue in Tucson: I'd say Mario's is better! 
It isn't in the best part of town, but the best food is in the ghetto lol",bm25,,
Q004,best pizza in town,EJr6F75jVU5GI61zg_5SiA,Adamo's Italian Restaurant,5.0,positive,"Some of the best pizza I have ever had. Wish there was more seating, your best bet is carry-out. Get the thick crust, you won't be sorry!",tfidf,,
Q004,best pizza in town,GFZGO69EUWGrJYH4nhWRjg,Pie Hole,5.0,positive,The best PIZZA anywhere near NY.... I love this place and will come here every single time i am in Boise...  Thanks for the juicy pizza,tfidf,,
Q004,best pizza in town,LdO1uMkRkABK0iJSFUab9Q,Mellow Mushroom - Clearwater,5.0,positive,Totally love Mellow Mushroom in Clearwater. The tortilla soup is vegetarian and to die for. They have great salad choices. Fun appetizers and of course the pizza is great! Chad and Khrissy are two of the best bartenders in town,bm25,,
Q004,best pizza in town,WKzDNjj9IIfyIjwV_EQDog,Taffy's Pizza,5.0,positive,"Best pizza and service in town!

I would highly recommend Taffy's for pizza- they have the most delicious pizzas, pesto breadsticks, and IPAs, and their management team is so awesome!  They also have a great back patio for events or for hanging out in the summer!!",bm25,,
Q004,best pizza in town,Y3z49lSlI3E8rrBZE5IJhg,Little Italy Pizza,5.0,positive,"Simply the best pizza in town.  Moist crust with fresh toppings, this place never fails to deliver.  And speaking of delivery, it's fast and easy.  White pizza with broccoli, spinach and garlic is sensational, as are the sauce pizza too.  Mega Fries may send your cholesterol soaring, but worth every tab of Crestor you may need.  Try the Chicken Cheesesteak too, you won't be disappointed. Everything we have ever ordered (except for the wings) are the best of its kind.  Not to be missed, try this place you will never order from anywhere else again.",tfidf,,
Q004,best pizza in town,YureIIHTIU17kFmYwU1MrQ,Chicago Connection - Eagle,4.0,positive,"This is the best pizza in the valley, and compared to other pizza we have had, there's just no going back.",tfidf,,
Q004,best pizza in town,bUyvRNa3WYtPq9lRTKDh4Q,MAFIAoZA'S Franklin,5.0,positive,Best Pizza in Franklin. The service is always outstanding. We're usually here once a week with our toddler and everyone is so nice.,tfidf,,
Q004,best pizza in town,cImV-7puDFrzd8VBI-kKsA,Grimaldi's Pizzeria,5.0,positive,"Me and the fiancee stop here for pizza on occasion. The pizza is very good, our favorite in town (Pesto, ricotta, pepperoni, Italian sausage). Wine selection is also very good. Staff service is excellent and I've never had pause or complaint. The Cannolis are our favorite in town. Location is excellent, and the nearby Imax is also a treat.",bm25,,
Q004,best pizza in town,dHyvKYCUSoSxzot9WAAjSA,La Vita Pizzeria,5.0,positive,HANDS DOWN BEST PIZZA SHOP IN AND AROUND TOWN.  i love this pizza shop has been around for awhile owner and staff are all friendly. the pizza is amazing and pastas dinners are always on point.,tfidf+bm25,,
Q004,best pizza in town,df0KcG9vJ7C0Fgma7jAHdw,MidiCi The Neapolitan Pizza Company,5.0,positive,the best pizza i've ever had!! definitely recommend the margarita pizza it is amazing! will definitely be going back,tfidf,,
Q004,best pizza in town,iA3puSHA8RaE4LOXCPkylg,Papa G's,5.0,positive,"Man oh Man, If you like Pizza or Calzones, THIS IS THE Best place in town. My friend introduced this place to me while I was at work and came back with a calzone. I am from New Jersey and absolutely love pizza, calzones, strombolies and on the east coast they are the Best. Until now!!!! I have been looking for my pizza place here in reno for years and have found my one and only. PAPA G'S. They are the best in town. If you dont believe me go try it and let me know what you think. I love this place and I have found my home for all of my cravings. Thank you guys for making the BEST food in Reno!!!!",bm25,,
Q004,best pizza in town,jk6v6LXLf7y-i7CXH0QTjg,Sa-Wad-Dee Thai Restaurant,5.0,positive,Easily the Best Thai restaurant in town if not one of the best restaurants in town. The guy replying with the bad comment I don't personally believe has ever eaten there or has no taste in food. This food is generally authentic and VERY fresh and VERY good. There is no better value for great food in town. The selection is amazing and also... some of the best Sushi in town from a sushi fanatic.. thats right.. amazing Thai and sushi in one place!,bm25,,
Q004,best pizza in town,slLCpr5pu3Y4GulOIYnWaw,Slice Pizzeria & Wing House,4.0,positive,"I was looking for pizza, and saw the reviews for SLICE.  I have to say it's the best I've had in Tampa.  Being from Chicago, having worked in pizza joints as a kid, I have an appreciation for the pie.  This is flavorful, tasty pizza.  Crust is soft, as probably an indication of the belt-fed style oven.  If you put this in a stone deck oven it'd probably crisp up nicely.  Staff was friendly, getting the military discount was nice, but not expected.  Will definitely be my choice for pizza when I'm in town, which is a couple times per year.  Definitely worth the drive if you're not in the area.",bm25,,
Q004,best pizza in town,uQ11JnCiIAZA9qETXKWWuQ,Pizanos Pizza,5.0,positive,Not going to write much because I am slipping into a  heavenly food coma. OMG! THIS IS THE BEST PIZZA I HAVE EVER EATEN! My husband and I are in town and wanted pizza. The reviews and pictures sold us. Cherry on top the late night delivery.. SAY WHAT.. amazing pizza. Ever time I visit I plan to order from here.,bm25,,
Q004,best pizza in town,v1r6_9BfnS71OMQqim5OAg,Renzi's Pizzeria,3.0,neutral,Renzis has good pizza but it's not the best. The pizza fries are so much better than old English.,tfidf,,
Q004,best pizza in town,vjBTM0S8a0vf5D9uU-IacA,Ciconte's Italia Pizza,4.0,positive,Ciconte's greatly exceeded my expectations.  Their mild buffalo wings are uniquely sauced and are the best in town.  Very meaty and large.  They make great pizza and the tomato pie is highly recommended.,bm25,,
Q004,best pizza in town,vnZOzzWJabkUkKNZmC9kOg,Domenica,5.0,positive,One word.. heavenly. Hands down best pizza I've ever had in my life! Margherita is the way to go,tfidf,,
Q004,best pizza in town,wfqbwjjM716WRjpNmnspYA,Marco's Pizza,5.0,positive,This is by far my favorite pizza in town. Tasty toppings and the different crust options and flavors are great. The cheesy bread is also very good.,tfidf,,
Q005,cold food undercooked steak,1EHU9TFo9vWrEngdsLFjMw,O'Charley's Restaurant & Bar,2.0,negative,"I ordered a medium well steak, and I got it and it was cold and dry! It was well, well done. Also, I ordered baby green beans and they were also pretty cold once biting into them. The service was great, just not some much the food. We also got kids chicken tenders and they were hard to cut and even to bite into... Very disappointed !",bm25,,
Q005,cold food undercooked steak,1O6IcqbuymSQ32jJiANc2g,Casa Mexico,2.0,negative,I have been going to this restaurant since they opened. I went to dinner on Tuesday night and unfortunately it will probably be my last time. The last two times I went the food was subpar. Tuesday was worse. My daughter had seafood enchiladas and I had the Tuesday special steak Mexicano  my daughters enchiladas were dried out and the beans were as if they came out of a can. My diner was not much better. The steak was full of gristle the tomatoes they put on the steak were cold the steak was over cooked and the beans were like my daughters and the rice was dry and cold. It saddens me that this is happening.,bm25,,
Q005,cold food undercooked steak,7golICxILnNzwOOTIZ4HTg,Burger King,1.0,negative,Cold food is not appetizing.  One other car there and I got cold food.  No excuse for that.,tfidf,,
Q005,cold food undercooked steak,A-KLb6FfTzVepM_JQL8JzQ,Xiandu Thai,2.0,negative,"Not so good for take out. Very cold food and we picked up.
Fried rice not so good
Beef was burnt
Surprised since we ate there before.
Buyer beware",tfidf,,
Q005,cold food undercooked steak,BrOG8KiEp7LwlPQb1y5hWQ,O'Charley's,2.0,negative,"Ordered breakfast. The biggest one they had. 
Cold...luke warm at best.
Sausage tasted ok, but cold.
Bacon was good, but cold.
Steak...Tough and cold.
Eggs - Flat, come on....they are scrambled... fluff them up a bit!
Toast, slightly burned.
Service was OK, except I think they left my food on the counter too long before they brought it.
Was anybody paying attention in the kitchen before they sent this out?
I will try the other places before I come back.",bm25,,
Q005,cold food undercooked steak,MYereT4gYoM6UmTh--fxgw,Hicks Bar-B-Que Company,1.0,negative,The staff was extremely rude. Food was cold. I was soooo dissatisfied that I took time out of my today to type a review. This is literally the first time I have ever left a review about anything. Beware of undercooked and under seasoned/ unflavored food. If I could give negative stars I would.,bm25,,
Q005,cold food undercooked steak,NRS8heqOl9dXk9v9gbozEw,Bianchi's Italian,2.0,negative,Pizza crust is undercooked so badly it was inedible; could only eat the edges.  Bad in every sense.,tfidf,,
Q005,cold food undercooked steak,Nhq44SE1HQlwtLbnDL6pQg,Bruno's,1.0,negative,"This place is filthy.  Went for breakfast and ordered eggs and hashbrowns, my partner ordered pancakes.  The sides of the table was sticky and dusty.  The hashbrowns were undercooked red potatoes, the eggs cold, and the pancakes must have had no baking powder as they were thick dense and tasteless.  How do places like this stay in business?  I also checked out their grill and it looks like it has not been cleaned in years.  If gets a star  because I can't rate zero.",bm25,,
Q005,cold food undercooked steak,P3UZ1KeslHouues0C74P2g,Kanella South,2.0,negative,"I used to LOVE Kanella. I was so excited to bring my boyfriend here from Baltimore. And wow was I embarrassed. The service was cold. The food was cold. We were rushed. Appetizers came after drinks - well after. An ordered second cocktail was entirely forgotten. 

It was really sad. Kanella is a place I have recommended, and loved, for years.",tfidf,,
Q005,cold food undercooked steak,QKbd24rNFVD8EUH7Yy9ylA,Another Broken Egg Cafe,2.0,negative,"Cold food, small tables with huge plates, paid 10.00 for parking. Nothing special. There are so many better places.",tfidf,,
Q005,cold food undercooked steak,QpusvREgRK99ig0oj27OLg,Olio E Limone Ristorante,2.0,negative,"I was served an undercooked pizza, which made me Ill for 2 days. I understand that this could be a fluke, as everyone else's food was fine. Hence the 2-star review. It's a weak 2, though.",tfidf,,
Q005,cold food undercooked steak,WAQT49miJQtBgR7NQ7cayg,Sidelines Grill,1.0,negative,"Disgusting undercooked food, chicken tenders were the size of turkey breast. Pathetic food and service.",tfidf+bm25,,
Q005,cold food undercooked steak,b-KUByTrEnQnb4zyJNXJJQ,Tony Roni's,2.0,negative,"Overpriced, mediocre, cold food!
If your looking for good food at a fair price, this is NOT the place for you. If you enjoy pulling all the cheese off of the paper they wrap the sandwich in, definitely go here. 
This place is a one and done for my wife and I.",tfidf,,
Q005,cold food undercooked steak,bAzZEjURLo7a3jcrD9DDsg,Dickey's Barbecue Pit,1.0,negative,"Place is trash. Spent $80 on three meals and sides, delivery driver dropped off the order missing sides, cold food, tiny servings. Tried to call no one answered. Read the other Yelp reviews, turns out I should have done that first.",tfidf,,
Q005,cold food undercooked steak,nvfhxMsyIvYFQibZarjmnA,Noodles & Company,1.0,negative,Poor meal. Chicken undercooked. Extras that were paid for - not included. Pasta had no sauce.,bm25,,
Q005,cold food undercooked steak,qi8B8QvgMC2TluXh420oVw,The Birchwood,2.0,negative,"Had Easter Sunday Brunch in the Grand Ballroom today, the food was nothing special, the shrimp cocktail was undercooked, the new york strip roast was way too undercooked even for those who like rare, and the potato casserole was undercooked.   Have to say it was a real disappointment, if it were not for the excellent wait staff I would rate this a 1 Star but the service was excellent.   Definitely not worth $55 for a very small selection on the buffet and the price did not even include the Mimosa!",bm25,,
Q005,cold food undercooked steak,r56I54RBjBbH0_GfP2avIg,The Mustard Seed Restaurant,1.0,negative,"Definitely not authentic. Black eye peas were like refried Beans, chicken fried steak tasted as if it came out of a TV dinner. Service was ok at best. They spent to much on decor and zero on food quality. Jiffy style corn bread and undercooked greens. Must I go on? Very disappointed, I am a fan of Midtown restaurants. Stay away if you are hungry because that is how you will leave.",bm25,,
Q005,cold food undercooked steak,xrhxt5KSgSXlmFOVDr9RnA,The Red Cedar Grill and Cocktails,2.0,negative,"We tried The Red Cedar for the first time last night. It is a nice place and the service was good. The rolls and butter were yummy. We both ordered the rib eye steak done medium. My steak was more like medium-rare, on the redder, rather than pink side. My husband's was done correctly. The steak was also not seasoned very well with salt and pepper. We had to add quite a bit for flavor. The vegetables were undercooked and on the crunchy side. We would like to go back another time and try something else on the menu.",bm25,,
Q005,cold food undercooked steak,ykn3CrFSnaFWt6hM4DsZOA,Milano's Pizza & Pasta,1.0,negative,this place sucks they are rude and my food was cold not only was my food cold the delivery person dropped my pizza and was like it's ok cause it didn't fall out the box what type of mess is that!!!! never again. i give 0 stars.,tfidf,,
Q006,fresh sushi great fish,0LV5Ic43BGZmoQHz8CLarQ,Ota-Ya,4.0,positive,"The sushi is great, atmosphere is decent, staff is good.. Prices are okay too. Over all I'd recommend you try it out!!",tfidf,,
Q006,fresh sushi great fish,8LFv8wYt1p97A_s0UCXjVg,Sushi Club,4.0,positive,"We were celebrating our daughters birthday at Sushi Club upon her request. My wife is not a fish person so she ordered off the menu. She ended getting chicken teriyaki, salad, and miso soup (no picture). The rest of us went with the all you can eat sushi. My daughter started off with crab Rangoon's and I had shrimp tempura. Pretty tasty. We ended up ordering several rolls both raw and cooked. We also ordered sashimi and nigiri (tuna and red snapper). You can order cooked rolls, raw rolls, Nigiri (fish on top of rice), and sashimi. The rolls and fish were fresh and delicious. My wife thought her food was average but will explore their menu for other non-fish items. I thought the all you can eat sushi menu gave you many different options to include appetizers, noodles, salad, soups, noodles, fried rice, and sushi. There were several servers working so we always had full glasses of water and pop.  Can't wait to go back and try something new!",bm25,,
